"reviewer","date_reviewed","star_rating","message","order_id"
"Johanna","04/28/2020","3","The card is very cute, but the quality is pretty much as if they'd used a standard printer at home.","1611681587"
"Jaime","04/27/2020","5","","1615828727"
"Devan","04/27/2020","5","Absolutely adorable. Great quality card and envelope. 4 1/4 in x 5 1/2 in size makes such a cute card! Came so quickly, too-thanks!!","1616420645"
"Nicole","04/27/2020","5","Very cute card, love it!","1588929657"
"Mandy","04/27/2020","5","Super cute and got it quick!!","1602313961"
"Leslie","04/27/2020","5","The magnetic bookmarks arrived very quickly after they were ordered, great quality and so adorable.  Highly recommend, my niece loved them.","1617291291"
"sydneymarsh7","04/26/2020","5","Cute and good quality, I look forward to sending these off!","1606779001"
"Megan","04/26/2020","5","Very cute! Love the quality.","1605077465"
"Maritza","04/23/2020","5","Good quality card stock paper!","1600459134"
"Norma","04/23/2020","5","","1608199612"
"Kristi","04/22/2020","5","Just as pictured! My boyfriend loved the card!","1598901904"
"paige","04/22/2020","5","super cute & fast delivery! i love it.","1614058085"
"joanna8050","04/22/2020","5","","1607413723"
"Kelly","04/22/2020","5","Cute. Funny. Quick delivery. Came in good condition.","1594236092"
"Li","04/21/2020","5","","1587049292"
"Emma","04/21/2020","5","Excellent quality and fast delivery.","1584498762"
"Hannah","04/20/2020","5","","1596642994"
"cplath72","04/19/2020","5","","1602862543"
"Nancy Garbish","04/18/2020","5","Excellent! My son will love getting this card on his birthday.","1599511568"
"Rachel","04/17/2020","5","Cute, arrived fast, thank you!","1593712018"
"Rachel","04/17/2020","5","Cute, arrived fast, thank you!","1593712018"
"Rachel","04/17/2020","5","Cute, arrived fast, thank you!","1593712018"
"Rachel","04/17/2020","5","Cute, arrived fast, thank you!","1593712018"
"Rachel","04/17/2020","5","Cute, arrived fast, thank you!","1593712018"
"Rachel","04/17/2020","5","Cute, arrived fast, thank you!","1593712018"
"Rachel","04/17/2020","5","Cute, arrived fast, thank you!","1593712018"
"Rachel","04/17/2020","5","Cute, arrived fast, thank you!","1593712018"
"Ty","04/16/2020","5","","1597728254"
"yadira401","04/14/2020","5","","1596553574"
"CSG91","04/14/2020","5","","1578613486"
"keith","04/14/2020","5","shipped fast, funny card, I love it.","1568265796"
"Samantha","04/12/2020","5","Shipped and arrived quickly in perfect condition. The card is really nice quality and I love that each purchase helps a good cause. I’ll definitely be ordering from this shop again.","1595422680"
"Samantha","04/12/2020","5","Shipped and arrived quickly and in perfect condition. My mom, who enjoys reading and gardening, loved it.","1595422680"
"leighopkins7","04/11/2020","5","","1589314236"
"sara","04/11/2020","5","","1586711939"
"sara","04/11/2020","5","","1586711939"
"Destinyyy","04/09/2020","5","The card is absolutely adorable and looks exactly as pictured; high quality materials and printing. Shipping was very speedy. And!!!! As an awesome bonus to an already amazing card, each purchase supports a charitable cause. Amazing - will definitely purchase from this seller again.","1606579597"
"kmkabana","04/09/2020","5","Shipped quickly and arrived in great condition","1591152168"
"Tuyet","04/09/2020","5","Such cute cards and came as expected :)","1591882818"
"Tuyet","04/09/2020","5","As expected! Thank you!","1591882818"
"Corinna","04/09/2020","5","","1599740075"
"Jazz","04/07/2020","5","","1595241188"
"ashley","04/07/2020","5","","1588290843"
"Jen","04/06/2020","5","Love this card, and it arrived quickly","1601879187"
"Janet","04/05/2020","5","Adorable! The couple we gave it to loved it!","1591226645"
"Amélie","04/05/2020","5","Très belle carte! Je l'adore!","1601646127"
"Haley","04/05/2020","5","","1579102418"
"Sue","04/04/2020","5","Lovely card. Happy with purchase.","1569492642"
"Meghan","04/02/2020","5","So cute and funny! Excited to gift it.","1589817207"
"Meghan","04/02/2020","5","So cute and fun! Perfect my dog-loving friend's wedding.","1589817207"
"Subuhi","04/01/2020","5","","1568938988"
"Allison","04/01/2020","5","Great card for a colleague with a new job!","1598762345"
"Derek","04/01/2020","5","Loved this funny card! Thank you!","1562349550"
"Josh","03/30/2020","5","Arrived on time and was a great choice of card","1597377707"
"Emily","03/28/2020","5","","1601107355"
"Jennifer","03/28/2020","5","Super super cute!!","1554952272"
"Kaitlin","03/27/2020","5","","1588375240"
"Meg","03/27/2020","5","adorable and love the quality!","1580981546"
"Dakota","03/26/2020","5","","1588224880"
"Danielle","03/23/2020","5","","1569328046"
"keating1313","03/20/2020","5","Love it!","1595004621"
"Mikel","03/19/2020","5","","1594623587"
"Carrie","03/19/2020","5","","1583586182"
"Carrie","03/19/2020","5","","1584347154"
"Brea","03/17/2020","5","Shipped quickly, great price, good quality. Great seller :)","1593044583"
"Kelly","03/15/2020","5","","1583852197"
"Sam","03/15/2020","4","Good card, arrived in the UK fast.","1589104431"
"Nancy","03/13/2020","5","So cute! Perfect for your room, desk, office anywhere! Artwork is fantastic and I would keep the postcards for everyday art work after the month has past.","1593904425"
"Nancy","03/13/2020","5","","1593904425"
"Michael","03/11/2020","5","Gave this to my wife for our anniversary and she loved it! The card is well made and blank on the inside. Provides enough space to write what ever you want. The color is great. Would buy again from seller!","1588278859"
"Heather","03/10/2020","5","","1588650909"
"Mariko","03/10/2020","5","","1589949263"
"Jessica","03/06/2020","5","Great card quality, but what drew me to this shop was its advocacy for social justice causes across the globe. Would purchase from them again!","1588098987"
"Caroline","03/06/2020","5","love it! came exactly as described/pictured. paper quality is great. i'd recommend.","1588123151"
"Charlotte","03/06/2020","5","Lovely little card, it's perfect!","1567774456"
"Barb","03/06/2020","5","","1578272506"
"Karla","03/02/2020","5","","1571483440"
"Flynn","02/29/2020","5","Absolutely beautiful card that I can't wait to send to my friend! High quality paper and it shipped very quickly.","1585871299"
"Diane","02/28/2020","5","Very cute card!","1576880696"
"Rebecca","02/27/2020","5","","1575446703"
"Abbey","02/27/2020","5","Love it! It looks exactly like the picture and came in perfect condition.","1571773902"
"dakotajhughes","02/27/2020","5","","1574643891"
"kalerific","02/26/2020","5","","1572275216"
"Jessica","02/24/2020","5","","1578879133"
"Shannon","02/24/2020","5","Cute graphics and fast delivery. Thank you!","1575211862"
"Maelle","02/23/2020","5","The cutest!! Arrived on time and great communication.\nThank you!","1569736963"
"eskay","02/23/2020","5","","1574970300"
"mackenziebower","02/21/2020","5","This was the cutest card and came with a high quality envelope. Love that part of the cost went towards a good cause.","1567237008"
"Michelle","02/21/2020","5","","1563770904"
"starrynight326","02/20/2020","5","Adorable card that was perfect for my BFF!","1565534460"
"biketour13","02/19/2020","5","Love the cards, quick delivery!","1579352369"
"Sasha","02/18/2020","5","","1579553369"
"Sarah","02/17/2020","5","","1572911635"
"Reetika","02/16/2020","5","","1558633242"
"Lauren","02/15/2020","5","","1563917469"
"Laurel","02/15/2020","5","Cute card! Thanks!","1567153852"
"Stephanie","02/14/2020","5","","1569244708"
"Sky","02/14/2020","5","So happy I ordered one of these adorable little cards! Each time they come in the mail I get so excited, I’ve already ordered 3! They are exactly as pictured and come quickly. Will always order more!","1576865885"
"Katherine","02/14/2020","5","","1563451270"
"Charlotte Almeida","02/11/2020","5","","1563209438"
"leaferne","02/11/2020","5","Came very quickly! Card was beautifully packaged and very cute; I know the recipient will love it. Thank you!","1580535225"
"ana","02/08/2020","5","Great quality and fast shipping!","1572496303"
"jeffrey","02/07/2020","5","","1568806890"
"lmccune1","02/07/2020","5","","1563772974"
"Megan","02/06/2020","5","Such good quality! It looks amazing in my office!","1563398798"
"Caleigh","02/06/2020","5","Second order from this seller. Good quality, cute cards and quick shipping. I like to support Canadian when I can!","1576177223"
"Caleigh","02/06/2020","5","Second order from this seller. Good quality, cute cards and quick shipping. I like to support Canadian when I can!","1576177223"
"S","02/03/2020","4","very fast shipping. exactly as it looks.","1578222299"
"kcmschmitz","02/03/2020","5","Perfect card for my boyfriend and our inside jokes on valentine's day","1569719191"
"Rachel","02/02/2020","5","Great. Thank you! Card is lovely, arrived to UK very quickly and free post. Will use seller again. Recommended.","1573284423"
"JaneeGW","01/31/2020","5","Cute! Well made. Arrived quickly.","1564099320"
"clairewilson32","01/28/2020","5","","1560989464"
"lstarkma","01/28/2020","5","Love the message, happy with my purchase!!","1551897386"
"Amber","01/27/2020","5","","1570713199"
"Leilani","01/27/2020","5","Thank you! This seller went above and beyond after I had entered in the incorrect shipping address. Love the card and quality!!!","1560324286"
"Lisa","01/26/2020","5","I love it\nIt was exactly like i thought it would be","1571215313"
"Jodie","01/26/2020","5","This is super cute for the office. I get compliments on it regularly!","1563292029"
"jmellen08","01/26/2020","5","","1567358407"
"Stefanie","01/26/2020","5","","1535737085"
"Kim","01/24/2020","5","Arrived very quickly and I loved the card!","1560398102"
"Vallerie","01/21/2020","5","","1568084235"
"C","01/19/2020","5","","1557818590"
"Tasha","01/17/2020","5","","1569907681"
"Mikayla","01/16/2020","4","very thin but very cute and seems it’ll hold up with delicate care","1555220086"
"Brian","01/13/2020","5","Really cute card! My wife loved it! Thanks!","1557492564"
"Erica","01/13/2020","5","","1533601659"
"chopper9","01/12/2020","5","","1556162425"
"Josh","01/10/2020","5","","1555373954"
"anniet815","01/09/2020","5","I love this pickle card! Perfect to send to my friend who just a new job — and also loves pickles. Very fast delivery to NY!","1561028419"
"Audrey","01/09/2020","5","","1537017506"
"Alison","01/09/2020","5","My partner loved it. Super cute, shipped quickly!","1530668978"
"Heather","01/08/2020","5","","1548844625"
"sdawson9061","01/07/2020","5","","1531935582"
"rcle7","01/07/2020","4","just what I was looking for as a teacher gift.  Quick shipping.","1548487509"
"tk","01/06/2020","5","Very cute and clever. Makes a great gift. Thanks so much!","1548776138"
"Teresa","01/06/2020","5","Gave them as a gift and my friend loved them! They are even more adorable in person :)","1560982529"
"Stephanie","01/03/2020","4","Calendar was very cute but the packaging came a little bent.","1541126134"
"Kelly","01/03/2020","5","I love my new easel calendar for my kitchen! Thanks!","1565459411"
"Micheline","01/02/2020","5","These were adorable! Thanks so much!","1546972035"
"amillionlittlepieces","01/01/2020","5","Cute card! Shipping was quick.","1531850516"
"Oscar","01/01/2020","5","","1546284330"
"Oscar","01/01/2020","5","","1546284330"
"Devin","12/30/2019","3","Took forever to get to me. But the card was great quality and I loved the saying.","1519255394"
"caitlinsw0rld1","12/28/2019","5","","1548423323"
"ezeitouni","12/28/2019","5","Great combination of special and funny card with the help to positive global cause.\r\nThe seller is helpful and attentive. Arrived very quickly.","1558649977"
"Amiè","12/27/2019","5","","1535174013"
"Gissel","12/26/2019","5","","1543643868"
"s2144","12/25/2019","5","","1540709972"
